epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,433.81,0.64986,1.07672,0.53363,1.00886,0.83571,0.83666,0.86045,0.61929,0.81482,0.81774,0.84413,0.57589,0.73799,1.33676,0.63056,0.9968,0.00113038,0.00113038,0.00113038
31,448.283,0.64045,1.09165,0.57054,0.99887,0.76106,0.84907,0.86006,0.64148,0.81666,0.7916,0.87373,0.58635,0.72102,1.30468,0.55033,0.99371,0.00112625,0.00112625,0.00112625
32,462.804,0.65382,1.09201,0.54719,1.01138,0.82099,0.78828,0.85684,0.62925,0.83882,0.80126,0.86273,0.59977,0.76828,1.35169,0.57566,1.01227,0.00112213,0.00112213,0.00112213
33,477.088,0.65077,1.08394,0.53862,1.01104,0.8063,0.80659,0.86122,0.62098,0.7863,0.77077,0.83647,0.58438,0.69041,1.48574,0.54817,0.98872,0.001118,0.001118,0.001118
34,491.471,0.63233,1.08216,0.51001,0.99531,0.83318,0.80599,0.85416,0.62899,0.83668,0.80088,0.84664,0.56837,0.76177,1.58798,0.54112,1.0133,0.00111388,0.00111388,0.00111388
35,505.775,0.64485,1.05849,0.5073,1.0008,0.71475,0.82568,0.82488,0.60244,0.69508,0.80275,0.80066,0.54727,0.68667,1.52673,0.54791,0.98171,0.00110975,0.00110975,0.00110975
36,520.045,0.62794,1.04557,0.51407,0.99939,0.81285,0.83146,0.87626,0.65183,0.84868,0.77325,0.86021,0.59867,0.70745,1.31605,0.55872,0.99331,0.00110563,0.00110563,0.00110563
37,534.377,0.62292,1.02285,0.49632,0.99632,0.86165,0.84648,0.88367,0.63143,0.80801,0.7757,0.83065,0.56469,0.75508,1.40546,0.6399,1.01127,0.0011015,0.0011015,0.0011015
38,548.581,0.62016,1.02514,0.49898,0.99869,0.84284,0.83393,0.86543,0.6479,0.78542,0.78342,0.81889,0.57427,0.73742,1.43952,0.55451,0.99883,0.00109738,0.00109738,0.00109738
39,562.788,0.625,1.0293,0.51048,0.99442,0.86105,0.81352,0.87222,0.64627,0.79233,0.78706,0.84586,0.57842,0.73439,1.43997,0.59296,1.0042,0.00109325,0.00109325,0.00109325
40,576.992,0.62066,1.01105,0.50829,0.99381,0.8489,0.79924,0.86651,0.63657,0.83078,0.77912,0.84658,0.57117,0.74738,1.46234,0.60246,1.00889,0.00108913,0.00108913,0.00108913
41,591.243,0.61759,0.99678,0.49618,0.98994,0.82834,0.80074,0.84062,0.62557,0.76186,0.85197,0.8564,0.59392,0.72671,1.47149,0.58936,1.01545,0.001085,0.001085,0.001085
42,605.444,0.60429,0.9914,0.53721,0.97919,0.8632,0.8426,0.8625,0.62723,0.81459,0.81132,0.84157,0.58055,0.70412,1.3229,0.57168,0.99346,0.00108088,0.00108088,0.00108088
43,619.63,0.60548,1.05497,0.51861,0.9888,0.84925,0.86749,0.88194,0.64885,0.81769,0.82629,0.85069,0.58278,0.66151,1.31445,0.54726,0.98841,0.00107675,0.00107675,0.00107675
44,633.847,0.59561,0.99328,0.48934,0.97995,0.81478,0.82263,0.86118,0.63788,0.79865,0.79958,0.84958,0.55311,0.70984,1.46051,0.58114,0.99758,0.00107263,0.00107263,0.00107263
45,648.026,0.591,0.9763,0.49038,0.97844,0.8395,0.78843,0.83302,0.62532,0.83125,0.77441,0.82772,0.60083,0.67486,1.37448,0.51672,0.98411,0.0010685,0.0010685,0.0010685
46,662.315,0.60124,0.98007,0.47879,0.98291,0.81765,0.82209,0.87407,0.658,0.77696,0.80928,0.85232,0.58314,0.67613,1.30682,0.5126,0.99114,0.00106437,0.00106437,0.00106437
47,676.514,0.58784,0.98904,0.48475,0.9803,0.85284,0.84995,0.87927,0.63109,0.8073,0.81897,0.84678,0.57448,0.75485,1.47641,0.58416,1.02946,0.00106025,0.00106025,0.00106025
48,690.712,0.58195,0.95338,0.49407,0.97712,0.82651,0.83126,0.87051,0.63558,0.80656,0.80715,0.85493,0.57224,0.69589,1.24427,0.5432,0.98176,0.00105612,0.00105612,0.00105612
49,704.882,0.5789,0.95219,0.46298,0.97332,0.85953,0.81048,0.85133,0.63602,0.83287,0.78775,0.82708,0.58613,0.6724,1.35959,0.50622,0.97991,0.001052,0.001052,0.001052
50,719.02,0.58484,0.94146,0.45599,0.97761,0.80006,0.82451,0.85477,0.64488,0.79833,0.82078,0.84893,0.58556,0.65857,1.3013,0.50404,0.97254,0.00104787,0.00104787,0.00104787
51,733.2,0.58694,0.97082,0.47113,0.97769,0.85747,0.83757,0.88423,0.64938,0.82546,0.84085,0.86755,0.58148,0.63507,1.23582,0.53277,0.95639,0.00104375,0.00104375,0.00104375
52,747.314,0.5776,0.98315,0.45818,0.97361,0.84242,0.8519,0.86457,0.65509,0.83708,0.84122,0.87399,0.5829,0.66084,1.2589,0.4932,0.97128,0.00103962,0.00103962,0.00103962
53,761.411,0.58674,0.98498,0.45499,0.97554,0.80446,0.85486,0.85553,0.64617,0.77932,0.82329,0.83556,0.57833,0.65593,1.28269,0.51551,0.9678,0.0010355,0.0010355,0.0010355
54,775.533,0.58225,0.98095,0.45274,0.97584,0.79596,0.83746,0.842,0.6332,0.78029,0.8552,0.86321,0.58927,0.66316,1.29156,0.52361,0.98361,0.00103138,0.00103138,0.00103138
55,789.651,0.56621,0.93457,0.44664,0.97127,0.80908,0.81091,0.8267,0.62818,0.8097,0.80112,0.83098,0.568,0.69022,1.36081,0.54398,0.98009,0.00102725,0.00102725,0.00102725
56,803.851,0.57136,0.96017,0.45682,0.97207,0.85924,0.87093,0.88236,0.65289,0.83805,0.83502,0.87934,0.59048,0.70834,1.23163,0.52763,0.99491,0.00102312,0.00102312,0.00102312
57,818.157,0.57767,0.94771,0.45741,0.97789,0.84522,0.83371,0.86365,0.65361,0.82842,0.82019,0.86763,0.59415,0.67229,1.31788,0.55704,0.99549,0.001019,0.001019,0.001019
58,832.469,0.58591,0.96384,0.44886,0.97495,0.85278,0.83609,0.87354,0.65907,0.82559,0.81097,0.85426,0.58005,0.67783,1.43474,0.56896,0.99397,0.00101488,0.00101488,0.00101488
59,846.594,0.57444,0.93739,0.45255,0.97812,0.82899,0.81603,0.83349,0.6413,0.82367,0.80929,0.82762,0.58435,0.65591,1.35372,0.49997,0.97649,0.00101075,0.00101075,0.00101075
60,860.716,0.55759,0.9209,0.44859,0.96669,0.82022,0.81379,0.83252,0.63351,0.7854,0.80339,0.82804,0.57238,0.64083,1.39889,0.53416,0.96397,0.00100663,0.00100663,0.00100663
61,874.914,0.56236,0.91606,0.44201,0.96787,0.79654,0.82713,0.85994,0.63599,0.78545,0.81538,0.85076,0.581,0.72658,1.31429,0.54396,0.99971,0.0010025,0.0010025,0.0010025
62,889.088,0.56348,0.91688,0.44919,0.97104,0.8471,0.82183,0.84501,0.63427,0.84007,0.82037,0.85809,0.56677,0.68024,1.41064,0.60583,0.97512,0.000998375,0.000998375,0.000998375
63,903.237,0.57678,0.92614,0.44865,0.97715,0.83479,0.85492,0.86155,0.64613,0.81269,0.83336,0.86032,0.58909,0.68298,1.38165,0.51262,0.97785,0.00099425,0.00099425,0.00099425
64,917.349,0.56804,0.93164,0.4397,0.96916,0.81814,0.8323,0.85768,0.63576,0.77496,0.82594,0.82764,0.56841,0.69309,1.37287,0.53244,0.9871,0.000990125,0.000990125,0.000990125
65,931.526,0.5624,0.93406,0.43955,0.96907,0.85789,0.8134,0.85525,0.64723,0.87024,0.7825,0.84205,0.57756,0.71033,1.48298,0.62126,1.00664,0.000986,0.000986,0.000986
66,945.654,0.54634,0.88252,0.4346,0.96367,0.82668,0.82648,0.85558,0.64792,0.84912,0.83017,0.86451,0.58524,0.66769,1.33723,0.54907,0.98379,0.000981875,0.000981875,0.000981875
